key,country,num_nodes,num_edges,ave_deg,density,ave_clust,ave_dist,diameter,links_supported,info_total,info_total_friend_only,info_expostIC,info_SP,comp_total,comp_supp,comp_trans,comp_by_three
20,Indonesia,14,31,4.428571428571429,0.34065934065934067,0.7935064935064935,1.8461538461538463,4,0.967741935483871,0.8241758241758241,0.8131868131868132,0.7912087912087912,0.6263736263736264,0.8131868131868132,0.32967032967032966,0.46153846153846156,0.0
21,Indonesia,25,44,3.52,0.14666666666666667,0.5779047619047619,2.683333333333333,5,0.8636363636363636,0.41,0.39,0.31333333333333335,,0.39,0.12666666666666668,0.18666666666666668,0.0
22,Indonesia,27,71,5.2592592592592595,0.2022792022792023,0.7720244775800331,2.4985754985754984,4,0.9859154929577465,0.48717948717948717,0.4843304843304843,0.4672364672364672,,0.4843304843304843,0.19943019943019943,0.2678062678062678,0.0
23,Indonesia,15,25,3.3333333333333335,0.23809523809523808,0.5022222222222222,2.4095238095238094,4,0.8,0.5238095238095238,0.47619047619047616,0.24761904761904763,0.2857142857142857,0.47619047619047616,0.19047619047619047,0.05714285714285714,0.0
24,Indonesia,29,123,8.482758620689655,0.30295566502463056,0.7950116932875553,2.086206896551724,5,1.0,0.6970443349753694,0.6970443349753694,0.6970443349753694,,0.6970443349753694,0.30295566502463056,0.39408866995073893,0.0
25,Indonesia,18,39,4.333333333333333,0.2549019607843137,0.6494708994708994,2.3137254901960786,5,0.9230769230769231,0.6078431372549019,0.5882352941176471,0.5294117647058824,0.3202614379084967,0.5882352941176471,0.23529411764705882,0.29411764705882354,0.0
26,Indonesia,31,84,5.419354838709677,0.18064516129032257,0.7086347344411861,2.763440860215054,6,0.9642857142857143,0.4666666666666667,0.46021505376344085,0.4129032258064516,,0.46021505376344085,0.17419354838709677,0.23870967741935484,0.0
27,Indonesia,38,111,5.842105263157895,0.15789473684210525,0.826393197445829,2.6770981507823612,5,1.0,0.422475106685633,0.422475106685633,0.422475106685633,,0.422475106685633,0.15789473684210525,0.26458036984352773,0.0
28,Indonesia,45,140,6.222222222222222,0.1414141414141414,0.8067520134186801,2.8656565656565656,6,0.9785714285714285,0.38282828282828285,0.3797979797979798,0.3464646464646465,,0.3797979797979798,0.1383838383838384,0.2080808080808081,0.0
29,Indonesia,39,108,5.538461538461538,0.145748987854251,0.7986143486143487,3.1889338731443995,7,0.9814814814814815,0.3630229419703104,0.3603238866396761,0.3441295546558704,,0.3603238866396761,0.14304993252361672,0.20107962213225372,0.0
30,Indonesia,35,95,5.428571428571429,0.15966386554621848,0.724539270253556,2.608403361344538,5,0.9789473684210527,0.43025210084033616,0.426890756302521,0.41008403361344536,,0.426890756302521,0.15630252100840336,0.253781512605042,0.0
31,Indonesia,27,93,6.888888888888889,0.26495726495726496,0.7085893530337976,2.2222222222222223,5,0.956989247311828,0.6239316239316239,0.6125356125356125,0.5669515669515669,,0.6125356125356125,0.2535612535612536,0.31339031339031337,0.0
32,Indonesia,18,50,5.555555555555555,0.32679738562091504,0.7887566137566138,1.9542483660130718,3,0.98,0.7189542483660131,0.7124183006535948,0.673202614379085,0.43137254901960786,0.7124183006535948,0.3202614379084967,0.35294117647058826,0.0
33,Indonesia,13,25,3.8461538461538463,0.32051282051282054,0.7758241758241758,1.9230769230769231,3,0.96,0.7564102564102564,0.7435897435897436,0.6923076923076923,0.46153846153846156,0.7435897435897436,0.3076923076923077,0.38461538461538464,0.0
34,Indonesia,7,12,3.4285714285714284,0.5714285714285714,0.6476190476190476,1.5238095238095237,3,0.9166666666666666,0.9047619047619048,0.8571428571428571,0.7142857142857143,0.5238095238095238,0.8571428571428571,0.5238095238095238,0.19047619047619047,0.0
35,Indonesia,13,23,3.5384615384615383,0.2948717948717949,0.532967032967033,2.1794871794871793,5,0.8260869565217391,0.6410256410256411,0.5897435897435898,0.41025641025641024,0.34615384615384615,0.5897435897435898,0.24358974358974358,0.16666666666666666,0.0
36,Indonesia,36,119,6.611111111111111,0.18888888888888888,0.6766444974778308,2.3380952380952382,5,0.9663865546218487,0.5412698412698412,0.5349206349206349,0.47619047619047616,,0.5349206349206349,0.18253968253968253,0.29365079365079366,0.0
37,Indonesia,22,52,4.7272727272727275,0.22510822510822512,0.687987012987013,2.29004329004329,4,0.9423076923076923,0.5887445887445888,0.5757575757575758,0.5021645021645021,,0.5757575757575758,0.21212121212121213,0.29004329004329005,0.0
38,Indonesia,42,115,5.476190476190476,0.13356562137049943,0.7249433106575963,4.32404181184669,10,0.9565217391304348,0.2601626016260163,0.25435540069686413,0.22880371660859466,,0.25435540069686413,0.12775842044134728,0.10104529616724739,0.0
