country,netexports,gdp,pop,gascon,diecon,gasprice,dieprice,spotgasprice,spotdieprice,gas,die,Agas,Adie,predictgas,predictdie,COSTgas,COSTdie,AREAgas,AREAdie,DWLgas,DWLdie,DWLtot,DWLgasPC,DWLdiePC,DWLtotPC,EXPgas,EXPdie,EXPtot
Eritrea,-3.15956,402.9574968,5253676.0,0.4837425077034142,1.9584142073836175,9.425677210302378,6.473055433581151,3.574082506851597,3.7660825068515966,2.5414264029012426,10.288873719390335,9.764838732408233,31.55247509917146,4.547433228925141,14.23965720419974,-14.871397278426883,-27.85170260492885,-19.254408432274932,-32.431815086074906,0.0,0.0,0.0,0.0,0.0,0.0,9.08326764906011,38.74874732980106,47.832014978861174
Estonia,-15.04929,14062.23424,1340161.0,65.18734140217754,95.11373133623891,6.662326060294051,6.662326060294051,3.574082506851597,3.7660825068515966,87.36153264088365,127.46771330130528,272.5811219242604,397.71843797220174,126.93957221251283,179.49064860089678,-269.79368999706145,-369.1775429209564,-320.84627777155345,-433.13719083523125,0.0,0.0,0.0,0.0,0.0,0.0,312.237325583527,480.0539252524204,792.2912508359475
Ethiopia,-42.50205,320.37867259999996,82949541.0,0.582126206958877,2.391172015870102,3.9746831609708826,3.558287782202504,3.574082506851597,3.7660825068515966,48.28710167130985,198.3466211684697,110.51281654354418,424.7852697460325,51.46522824840146,191.705931390969,-19.343844515051178,41.215381530780036,-19.962394778269793,40.51498981576585,0.0,0.0007003917150141845,0.0007003917150141845,0.0,0.008443587590366348,0.008443587590366348,172.58208538999304,746.9897402756943,919.5718256656874
Fiji,-9.35685,3687.215765,860623.0,,,5.337431673303756,4.883182169192798,3.574082506851597,3.7660825068515966,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
Finland,-184.04696,43863.96693000001,5363352.0,88.43232788635811,126.45231179399318,7.873658071256605,7.381554441803067,3.574082506851597,3.7660825068515966,474.2937026339545,678.2082593649368,1635.8869536530135,2250.358813659106,761.823814572326,1015.5887293227505,-2039.261614196126,-2452.042927786217,-2529.0131773102758,-2953.600604311811,0.0,0.0,0.0,0.0,0.0,0.0,1695.16482569389,2554.188261596559,4249.353087290449
France,-1668.4360700000002,39170.2647,65075569.0,35.875488555735956,135.84866144416384,7.230137940432748,6.73803431097921,3.574082506851597,3.7660825068515966,2334.6178309175057,8840.428941367323,7650.745367979526,27771.111911178654,3562.911243677537,12533.124978364582,-8535.492206061386,-26273.328741558587,-10363.67551558677,-30915.826983757495,0.0,0.0,0.0,0.0,0.0,0.0,8344.116749666076,33293.784789148056,41637.901538814134
French Polynesia,-7.19047,,270764.0,,,6.435201308238571,5.905243553442454,3.574082506851597,3.7660825068515966,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gabon,228.34733,8767.825851,1505463.0,12.027969552448406,25.249157472329692,3.9368290356283024,3.444725406174765,2.817,3.009,18.107663126337634,38.011672355765874,41.20503993558439,79.83801710466128,22.134933991025214,41.224598008613185,-20.27748693624884,-16.562651376598176,-22.331662276059827,-17.23739521795156,0.0,0.0,0.0,0.0,0.0,0.0,51.00928702689312,114.37712211849951,165.38640914539263
"Gambia, The",-3.39282,550.6879805,1728394.0,,,,,3.574082506851597,3.7660825068515966,,,,,,,,,,,,,,,,,,,
Georgia,-20.13097,2613.689508,4452800.0,24.970222142676025,19.25543800057611,5.072452795905698,5.1860151719334375,3.574082506851597,3.7660825068515966,111.18740515690781,85.74061432896531,294.5685679954877,230.19021612759929,137.17900837971305,103.88502832551914,-166.59990440413142,-121.74589900988198,-184.25942500118896,-133.53134715096826,0.0,0.0,0.0,0.0,0.0,0.0,397.39295975352525,322.9062277510256,720.2991875045509
