country,netexports,gdp,pop,gascon,diecon,gasprice,dieprice,spotgasprice,spotdieprice,gas,die,Agas,Adie,predictgas,predictdie,COSTgas,COSTdie,AREAgas,AREAdie,DWLgas,DWLdie,DWLtot
Canada,1493.23472,46211.53386,34126547.0,286.33967923965855,140.51192340559726,4.996744545220538,4.656057417137319,3.9270000000000005,4.119,9771.784521537133,4795.186758161515,25655.835951376263,12067.478192521907,11291.447749557496,5161.090178874565,-10453.313188984825,-2575.2906150292984,-11213.989231372148,-2670.3360627806146,0.0,0.0,0.0
Cape Verde,-2.64622,3344.8722100000005,495999.0,,,8.706448828793361,5.9809518041276135,4.684082506851597,4.8760825068515965,,,,,,,,,,,0.0,0.0,0.0
Cayman Islands,-3.75386,,56230.0,,,,,4.684082506851597,4.8760825068515965,,,,,,,,,,,,,
Central African Republic,-2.31756,451.2594423,4401051.0,,,6.473055433581151,6.397347182895992,4.684082506851597,4.8760825068515965,,,,,,,,,,,0.0,0.0,0.0
Chad,123.97425,760.7122667000001,11227208.0,,,3.596141907545084,4.39107853973926,3.9270000000000005,4.119,,,,,,,,,,,,0.0,
Chile,-310.85003,12639.52426,17113688.0,51.10344195003793,56.296381179460745,5.905243553442454,4.693911542479899,4.684082506851597,4.8760825068515965,874.5683612590608,963.4387030343631,2538.262014831405,2436.3800198331032,1004.9899732356309,941.677951508983,-1067.9888153503653,175.51055764478724,-1142.7080604388182,173.50834448984253,0.0,0.0020022131549447125,0.0020022131549447125
China,-5041.13255,4433.36122,1337705000.0,15.899054379267833,15.671209438214332,5.1860151719334375,4.845328043850219,4.684082506851597,4.8760825068515965,21268.244538418476,20963.4552215465,57099.448671658036,54032.71328306747,22607.742249221836,20884.022338336472,-10675.22666278068,644.7198079920886,-11002.27216909727,643.4962892572031,0.0,0.0012235187348854878,0.0012235187348854878
Colombia,526.45754,6186.024868,46294841.0,19.117718648692716,23.175387670939248,4.845328043850219,4.46678679042442,3.9270000000000005,4.119,885.0517451239641,1072.9008873394928,2281.1958562923287,2633.641993062466,1003.9822466377346,1126.371525866062,-812.767837805912,-373.1407560513147,-864.3193959033383,-382.2379899009408,0.0,0.0,0.0
Comoros,-0.87707,739.5078761,734750.0,,,,,4.684082506851597,4.8760825068515965,,,,,,,,,,,,,
Costa Rica,-48.42914999999999,7773.858272,4658887.0,47.59494139259483,45.08898909292832,5.943097678785034,5.148161046590857,4.684082506851597,4.8760825068515965,221.73945371972198,210.06450512818554,646.0270371285283,561.4924872900381,255.78553000424495,217.02078120603977,-279.1733364493622,-57.1540438063272,-299.2467652452331,-58.08666927568004,0.0,0.0,0.0
Croatia,-56.90926,13461.39641,4418000.0,45.803774878103184,75.23489848513312,6.70018018563663,6.435201308238571,4.684082506851597,4.8760825068515965,202.36107741145986,332.3877815073181,633.5470489590737,1015.7394803080401,250.84425014301902,392.5904273130578,-407.9796984456826,-518.2320394993653,-452.201292942805,-561.6974285495392,0.0,0.0,0.0
Cuba,-114.89894,,11257979.0,7.477785277712443,3.604900204348805,5.299577547961176,4.921036294535378,4.684082506851597,4.8760825068515965,84.18474962299585,40.583890797654554,228.96978454869702,105.58144988406879,90.6574405245739,40.80797028165949,-51.81529593000545,-1.824399610299548,-53.741694264165666,-1.829423895496907,0.0,0.0,0.0
Cyprus,-58.30942,28779.18555,1103647.0,112.2592071430349,85.1983231258157,6.70018018563663,6.73803431097921,4.684082506851597,4.8760825068515965,123.89453718578903,94.02887372283712,387.8859483269471,295.3800536555317,153.57811232638582,114.16646072397548,-249.7834888344152,-175.07723106832415,-276.85793444382745,-192.21173840467836,0.0,0.0,0.0
