ms_center,st_id,date,present,att_tot,att_per,tk,gp,cp,sgi_sch_mat,sgi_sch_hin,sgi_att_mat,sgi_att_hin,sgi_att_mat_tot,sgi_att_hin_tot,mean_attend,cal_att_mat_tot,cal_att_hin_tot,cal_att_tot,treat,strata,m_theta_mle1_z,h_theta_mle1_z,m_theta_mle2_z,h_theta_mle2_z,st_female1,ses_index,d_sch_grade4,d_sch_grade5,d_sch_grade6,d_sch_grade7,d_sch_grade8,d_sch_grade9
TK,TK386,2015-10-17,0.0,75.0,0.872093,Orientation,Orientation,Orientation,,,0.0,0.0,23.0,25.0,0.27795526,36.0,29.0,65.0,1.0,17.0,0.35091382,0.72595364,1.080682,1.7108688,1.0,0.12410065,0.0,0.0,0.0,1.0,0.0,0.0
TK,TK387,2015-10-17,0.0,68.0,0.7906977,Orientation,Orientation,Orientation,,,0.0,0.0,18.0,23.0,0.27795526,33.0,25.0,58.0,1.0,16.0,0.11037483,0.3040782,1.1468698,1.367764,1.0,-1.3373805,0.0,0.0,1.0,0.0,0.0,0.0
TK,TK389,2015-10-17,0.0,72.0,0.8372093,Orientation,Orientation,Orientation,,,0.0,0.0,20.0,25.0,0.27795526,34.0,21.0,55.0,1.0,15.0,-0.2618688,-0.09948153,0.46990266,0.66835517,1.0,0.92924875,0.0,0.0,0.0,1.0,0.0,0.0
TK,TK390,2015-10-17,0.0,59.0,0.68604654,Orientation,Orientation,Orientation,,,0.0,0.0,16.0,21.0,0.27795526,28.0,18.0,46.0,1.0,14.0,0.32694972,0.42244813,-0.31526074,0.31339514,1.0,0.12410065,0.0,0.0,0.0,0.0,1.0,0.0
TK,TK391,2015-10-17,0.0,79.0,0.9186047,Orientation,Orientation,Orientation,,,0.0,0.0,23.0,26.0,0.27795526,40.0,27.0,67.0,1.0,14.0,0.39254716,0.97447264,1.6561567,1.1706772,1.0,0.92924875,0.0,0.0,0.0,0.0,1.0,0.0
TK,TK393,2015-10-17,0.0,75.0,0.872093,Orientation,Orientation,Orientation,,,0.0,0.0,21.0,25.0,0.27795526,38.0,25.0,63.0,1.0,15.0,0.25458333,1.022888,0.94034076,0.6368626,1.0,-0.6318316,0.0,0.0,0.0,1.0,0.0,0.0
TK,TK396,2015-10-17,0.0,0.0,0.0,Orientation,Orientation,Orientation,,,0.0,0.0,0.0,0.0,0.27795526,0.0,0.0,,1.0,15.0,0.18672132,-0.3888541,-0.73508155,-0.46792287,1.0,-3.6438587,0.0,0.0,0.0,0.0,1.0,0.0
TK,TK399,2015-10-17,0.0,1.0,0.011627907,Orientation,Orientation,Orientation,,,0.0,0.0,0.0,0.0,0.27795526,0.0,0.0,,1.0,14.0,-0.31338236,-0.22607124,-0.2470093,0.5390316,1.0,0.92924875,0.0,0.0,0.0,1.0,0.0,0.0
TK,TK401,2015-10-17,0.0,67.0,0.7790698,Orientation,Orientation,Orientation,,,0.0,0.0,18.0,22.0,0.27795526,29.0,22.0,51.0,1.0,15.0,0.4741027,0.94712603,1.4875242,1.1539828,1.0,-1.4011551,0.0,0.0,0.0,0.0,1.0,0.0
TK,TK402,2015-10-17,0.0,57.0,0.6627907,Orientation,Orientation,Orientation,,,0.0,0.0,16.0,19.0,0.27795526,23.0,21.0,44.0,1.0,15.0,-3.712901,-2.0905015,-2.6765225,-1.2362181,1.0,-1.6351523,0.0,0.0,0.0,0.0,1.0,0.0
TK,TK406,2015-10-17,0.0,61.0,0.7093023,Orientation,Orientation,Orientation,,,0.0,0.0,18.0,20.0,0.27795526,28.0,19.0,47.0,1.0,17.0,,-1.0654831,-0.8643589,-1.7006317,1.0,-2.106704,0.0,0.0,1.0,0.0,0.0,0.0
TK,TK408,2015-10-17,0.0,3.0,0.034883723,Orientation,Orientation,Orientation,,,0.0,0.0,0.0,1.0,0.27795526,0.0,0.0,,1.0,12.0,-0.2639769,-0.5983404,0.059273854,0.21897978,0.0,-0.70404565,0.0,0.0,1.0,0.0,0.0,0.0
TK,TK409,2015-10-17,0.0,61.0,0.7093023,Orientation,Orientation,Orientation,,,0.0,0.0,18.0,18.0,0.27795526,31.0,17.0,48.0,1.0,15.0,0.5391159,-0.3362086,1.8299259,1.3123431,1.0,-0.16027994,0.0,0.0,0.0,0.0,1.0,0.0
TK,TK410,2015-10-17,0.0,72.0,0.8372093,Orientation,Orientation,Orientation,,,0.0,0.0,20.0,24.0,0.27795526,35.0,26.0,61.0,1.0,15.0,-3.712901,-2.6331139,-0.18466318,-1.1004426,1.0,-2.0105643,0.0,0.0,1.0,0.0,0.0,0.0
TK,TK413,2015-10-17,0.0,79.0,0.9186047,Orientation,Orientation,Orientation,,,0.0,0.0,21.0,27.0,0.27795526,39.0,26.0,65.0,1.0,19.0,-0.9626132,-2.262487,0.24375674,-0.18813257,1.0,-2.106704,0.0,0.0,0.0,0.0,1.0,0.0
TK,TK415,2015-10-17,0.0,2.0,0.023255814,Orientation,Orientation,Orientation,,,0.0,0.0,0.0,0.0,0.27795526,0.0,0.0,,1.0,15.0,-2.5156722,-0.47258338,-3.5964293,-2.769931,1.0,-4.957415,0.0,0.0,1.0,0.0,0.0,0.0
TK,TK420,2015-10-17,0.0,72.0,0.8372093,Orientation,Orientation,Orientation,,,0.0,0.0,18.0,25.0,0.27795526,34.0,26.0,60.0,1.0,18.0,0.0043247156,0.682008,0.73353505,2.105267,1.0,-2.174028,0.0,0.0,0.0,1.0,0.0,0.0
TK,TK421,2015-10-17,0.0,2.0,0.023255814,Orientation,Orientation,Orientation,,,0.0,0.0,0.0,0.0,0.27795526,0.0,1.0,1.0,1.0,16.0,0.24904221,-2.2897284,,,1.0,1.4215517,0.0,0.0,0.0,1.0,0.0,0.0
TK,TK422,2015-10-17,0.0,79.0,0.9186047,Orientation,Orientation,Orientation,,,0.0,0.0,21.0,28.0,0.27795526,39.0,25.0,64.0,1.0,16.0,0.005709623,-0.77049786,1.5002893,0.70606625,1.0,1.2895874,0.0,0.0,1.0,0.0,0.0,0.0
TK,TK427,2015-10-17,0.0,81.0,0.94186044,Orientation,Orientation,Orientation,,,0.0,0.0,22.0,28.0,0.27795526,38.0,29.0,67.0,1.0,15.0,0.01625259,0.40828076,0.5080314,0.69877857,1.0,0.17331654,0.0,0.0,0.0,1.0,0.0,0.0
TK,TK430,2015-10-17,0.0,68.0,0.7906977,Orientation,Orientation,Orientation,,,0.0,0.0,18.0,23.0,0.27795526,32.0,24.0,56.0,1.0,15.0,-0.043267883,-0.5266002,0.24277629,-1.0510007,1.0,0.8180357,0.0,0.0,1.0,0.0,0.0,0.0
