survey,imposed,voluntary,want_share_fb,want_share_facts,see_facts,age,age_sqrd,male_raw,male,educ,income,religion_q8,q13,q14,q15,neg_image_ue,vote_2nd,second_mlp,share_interest,share_reciprocity,share_image,share_influence,gave_charity,gave_homeless,donated_blood,worked_charity,altruism,reciprocity,image
1,0,0,1,0,0,31,961,2,0,5,1,1,1,446.0,3,3,7,0,5.0,5.0,5.0,5.0,0,0,0,0,0.0,5,5
1,0,0,1,0,0,59,3481,1,1,2,1,1,1,10.0,2,1,1,0,3.0,3.0,3.0,3.0,0,0,0,0,0.0,4,3
1,0,0,0,0,0,33,1089,1,1,5,1,1,1,150.0,3,5,1,0,5.0,5.0,4.0,5.0,0,1,0,0,0.25,5,5
1,0,0,0,0,0,38,1444,2,0,7,2,2,1,294.0,2,8,4,0,5.0,1.0,1.0,1.0,0,0,1,1,0.5,5,5
1,0,0,1,0,0,37,1369,1,1,3,2,2,1,15.0,3,1,4,0,3.0,4.0,3.0,4.0,0,0,0,0,0.0,4,4
1,0,0,1,0,0,30,900,2,0,2,1,1,1,12.0,2,3,7,0,5.0,5.0,5.0,5.0,1,1,1,1,1.0,5,5
1,0,0,0,0,0,40,1600,2,0,5,1,1,1,71.0,2,3,7,0,4.0,2.0,1.0,1.0,0,0,0,1,0.25,5,5
1,0,0,1,0,0,55,3025,1,1,7,2,2,1,28900.0,3,1,1,0,4.0,2.0,4.0,4.0,0,0,0,0,0.0,4,3
1,0,0,0,0,0,53,2809,1,1,1,1,1,1,10.0,3,7,7,0,4.0,1.0,1.0,3.0,0,0,0,0,0.0,5,5
1,0,0,0,0,0,23,529,2,0,6,1,1,1,300.0,3,3,1,0,5.0,2.0,5.0,5.0,0,0,0,0,0.0,5,4
1,0,0,0,0,0,64,4096,1,1,1,1,1,1,3000.0,3,1,2,1,3.0,3.0,2.0,3.0,0,1,1,1,0.75,3,4
1,0,0,0,0,0,47,2209,2,0,1,2,1,3,9.0,2,8,6,0,2.0,2.0,2.0,2.0,1,0,1,1,0.75,1,1
